epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.0195987224578857
1,43,,,,0.9884768128395081
2,49,0.0,0.9592788219451904,0.9592788219451904,
2,65,,,,0.924199104309082
3,87,,,,0.8716886043548584
4,99,0.0,0.8208496570587158,0.8208496570587158,
4,109,,,,0.8319479823112488
5,131,,,,0.8010318279266357
6,149,0.0,0.7639859914779663,0.7639859914779663,
6,153,,,,0.775855302810669
7,175,,,,0.7543641924858093
8,197,,,,0.7356275320053101
9,199,0.0,0.7221581339836121,0.7221581339836121,
9,219,,,,0.7184505462646484
10,241,,,,0.7028422355651855
11,249,0.0,0.6766341328620911,0.6766341328620911,
11,263,,,,0.6879643201828003
12,285,,,,0.6743470430374146
13,299,0.0,0.640815019607544,0.640815019607544,
13,307,,,,0.6615400314331055
14,329,,,,0.6493918895721436
15,349,0.0,0.6235055327415466,0.6235055327415466,
15,351,,,,0.6382017135620117
16,373,,,,0.6280593872070312
17,395,,,,0.6189899444580078
18,399,0.0,0.5928494334220886,0.5928494334220886,
18,417,,,,0.6107823252677917
19,439,,,,0.6037811040878296
20,449,0.0,0.573175847530365,0.573175847530365,
20,461,,,,0.5974705815315247
21,483,,,,0.5916544198989868
22,499,0.0,0.564531683921814,0.564531683921814,
22,505,,,,0.58672034740448
23,527,,,,0.5817193984985352
24,549,0.0,0.5498254895210266,0.5498254895210266,
24,549,,,,0.5776919722557068
25,571,,,,0.5735366940498352
26,593,,,,0.5697944164276123
27,599,0.0,0.540236234664917,0.540236234664917,
27,615,,,,0.5659981369972229
28,637,,,,0.5626478791236877
29,649,0.0,0.5315069556236267,0.5315069556236267,
29,659,,,,0.559760332107544
30,681,,,,0.5564456582069397
31,699,0.0,0.5290197134017944,0.5290197134017944,
31,703,,,,0.5534977316856384
32,725,,,,0.5503856539726257
33,747,,,,0.5479093194007874
34,749,0.0,0.5186334252357483,0.5186334252357483,
34,769,,,,0.5451606512069702
35,791,,,,0.5426471829414368
36,799,0.0,0.5132949352264404,0.5132949352264404,
36,813,,,,0.5401634573936462
37,835,,,,0.5377429127693176
38,849,0.0,0.5066289305686951,0.5066289305686951,
38,857,,,,0.5353438258171082
39,879,,,,0.5328348875045776
