epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.0796750783920288
1,43,,,,1.0421074628829956
2,49,0.6772850751876831,1.0164647102355957,1.0157289505004883,
2,65,,,,1.0086487531661987
3,87,,,,0.9867682456970215
4,99,0.6513797044754028,0.9596013426780701,0.9588820934295654,
4,109,,,,0.9703591465950012
5,131,,,,0.9565796852111816
6,149,0.6019059419631958,0.9274957180023193,0.9268010258674622,
6,153,,,,0.9441336393356323
7,175,,,,0.9327968955039978
8,197,,,,0.9220229983329773
9,199,0.5406899452209473,0.8991458415985107,0.8984705805778503,
9,219,,,,0.9123755693435669
10,241,,,,0.9029080867767334
11,249,0.46762070059776306,0.8875481486320496,0.8868429660797119,
11,263,,,,0.8947063684463501
12,285,,,,0.8869120478630066
13,299,0.3962468206882477,0.8579680323600769,0.8571773171424866,
13,307,,,,0.8801794052124023
14,329,,,,0.8741018176078796
15,349,0.32420992851257324,0.8470151424407959,0.8461238741874695,
15,351,,,,0.86854088306427
16,373,,,,0.8636789917945862
17,395,,,,0.8591668009757996
18,399,0.24638274312019348,0.834442675113678,0.8333574533462524,
18,417,,,,0.8549341559410095
19,439,,,,0.8510721325874329
20,449,0.1657789945602417,0.8402667045593262,0.8388432264328003,
20,461,,,,0.8479548692703247
21,483,,,,0.8447898626327515
22,499,0.10158964991569519,0.8270870447158813,0.8252094388008118,
22,505,,,,0.8416948318481445
23,527,,,,0.8391380906105042
24,549,0.06246810033917427,0.8166879415512085,0.814325749874115,
24,549,,,,0.8364086747169495
25,571,,,,0.8339518308639526
26,593,,,,0.8315283060073853
27,599,0.04018674045801163,0.8120458722114563,0.8092536330223083,
27,615,,,,0.8293706774711609
28,637,,,,0.8270565271377563
29,649,0.02681668847799301,0.800247848033905,0.7970311045646667,
29,659,,,,0.8251392245292664
30,681,,,,0.8232856392860413
31,699,0.019259948283433914,0.7984053492546082,0.7948561310768127,
31,703,,,,0.8212578296661377
32,725,,,,0.8196418881416321
33,747,,,,0.8177568316459656
34,749,0.014328766614198685,0.8043472170829773,0.8004957437515259,
34,769,,,,0.8160417675971985
35,791,,,,0.814284086227417
36,799,0.011357025243341923,0.7827420234680176,0.7786243557929993,
36,813,,,,0.812962532043457
37,835,,,,0.8112310767173767
38,849,0.008641146123409271,0.7970578074455261,0.7926880121231079,
38,857,,,,0.809866726398468
39,879,,,,0.8082959055900574
