epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.018700361251831
1,43,,,,0.9210199117660522
2,49,0.6691570281982422,0.8767046928405762,0.8760281205177307,
2,65,,,,0.8347283005714417
3,87,,,,0.7638830542564392
4,99,0.6383840441703796,0.7171164751052856,0.7164694666862488,
4,109,,,,0.7049863934516907
5,131,,,,0.6532334685325623
6,149,0.6131120920181274,0.6033868789672852,0.6027795672416687,
6,153,,,,0.6096543669700623
7,175,,,,0.5704220533370972
8,197,,,,0.5363033413887024
9,199,0.5927549004554749,0.5201444029808044,0.5195512771606445,
9,219,,,,0.5044535994529724
10,241,,,,0.4760207235813141
11,249,0.5695397257804871,0.4524695873260498,0.45184582471847534,
11,263,,,,0.4501935839653015
12,285,,,,0.4264327585697174
13,299,0.5411030650138855,0.39523211121559143,0.3945607841014862,
13,307,,,,0.40489986538887024
14,329,,,,0.3852481245994568
15,349,0.504995584487915,0.356331467628479,0.355591356754303,
15,351,,,,0.3675271272659302
16,373,,,,0.3518422245979309
17,395,,,,0.33783966302871704
18,399,0.46838077902793884,0.3193524479866028,0.3185461163520813,
18,417,,,,0.32454556226730347
19,439,,,,0.31330427527427673
20,449,0.4207730293273926,0.29076966643333435,0.28985458612442017,
20,461,,,,0.3034060597419739
21,483,,,,0.29409781098365784
22,499,0.38030678033828735,0.27563419938087463,0.274592787027359,
22,505,,,,0.2856859266757965
23,527,,,,0.27765849232673645
24,549,0.33911406993865967,0.2543752193450928,0.2532176673412323,
24,549,,,,0.27102386951446533
25,571,,,,0.26470956206321716
26,593,,,,0.2585565447807312
27,599,0.33099544048309326,0.23737189173698425,0.2361215054988861,
27,615,,,,0.25284668803215027
28,637,,,,0.2477666735649109
29,649,0.3096492886543274,0.2248115837574005,0.22346198558807373,
29,659,,,,0.24264121055603027
30,681,,,,0.23774655163288116
31,699,0.28812092542648315,0.21680207550525665,0.21536418795585632,
31,703,,,,0.23325574398040771
32,725,,,,0.22879727184772491
33,747,,,,0.22479678690433502
34,749,0.25688862800598145,0.2076001614332199,0.20610134303569794,
34,769,,,,0.22056832909584045
35,791,,,,0.2165992558002472
36,799,0.26483047008514404,0.19644954800605774,0.19485972821712494,
36,813,,,,0.2127579152584076
37,835,,,,0.20918264985084534
38,849,0.24510353803634644,0.18760769069194794,0.1860814243555069,
38,857,,,,0.20524568855762482
39,879,,,,0.20183198153972626
