epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.0954705476760864
1,43,,,,1.0594414472579956
2,49,0.6665166616439819,1.028928279876709,1.0281903743743896,
2,65,,,,1.0257598161697388
3,87,,,,1.00386643409729
4,99,0.6260623335838318,0.9832409024238586,0.9825296998023987,
4,109,,,,0.9873173236846924
5,131,,,,0.9735932946205139
6,149,0.5694686770439148,0.9366429448127747,0.9359515905380249,
6,153,,,,0.9612307548522949
7,175,,,,0.9501256942749023
8,197,,,,0.9394927024841309
9,199,0.5027130246162415,0.9077074527740479,0.9069952964782715,
9,219,,,,0.9299769401550293
10,241,,,,0.9208338260650635
11,249,0.422595351934433,0.8974316120147705,0.8966475129127502,
11,263,,,,0.9122916460037231
