epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.004377007484436
1,43,,,,0.90396648645401
2,49,0.6740003228187561,0.8735284805297852,0.8728387951850891,
2,65,,,,0.8180807828903198
3,87,,,,0.7490563988685608
4,99,0.6458587646484375,0.7124526500701904,0.711787760257721,
4,109,,,,0.6916842460632324
5,131,,,,0.6429359912872314
6,149,0.6131247878074646,0.595814049243927,0.5951913595199585,
6,153,,,,0.6002916097640991
7,175,,,,0.5622186064720154
8,197,,,,0.5286645293235779
9,199,0.5795495510101318,0.5193219184875488,0.5187101364135742,
9,219,,,,0.4987506568431854
10,241,,,,0.4713505208492279
11,249,0.547223687171936,0.45830777287483215,0.45765429735183716,
11,263,,,,0.44714921712875366
12,285,,,,0.42526745796203613
13,299,0.5098639726638794,0.40529412031173706,0.40458300709724426,
13,307,,,,0.4048048257827759
14,329,,,,0.38628360629081726
15,349,0.4670178294181824,0.357378751039505,0.3565903604030609,
15,351,,,,0.36940595507621765
16,373,,,,0.35359683632850647
17,395,,,,0.3400633633136749
18,399,0.41040217876434326,0.3258194327354431,0.3249134123325348,
18,417,,,,0.3270167112350464
19,439,,,,0.31512513756752014
20,449,0.370326429605484,0.30057090520858765,0.2995810806751251,
20,461,,,,0.30463168025016785
21,483,,,,0.29475200176239014
22,499,0.3322375416755676,0.27576741576194763,0.2746051251888275,
22,505,,,,0.2862832248210907
23,527,,,,0.27851152420043945
24,549,0.30647042393684387,0.258682519197464,0.25743311643600464,
24,549,,,,0.27127084136009216
25,571,,,,0.2647975981235504
26,593,,,,0.2587284743785858
27,599,0.29050299525260925,0.24459023773670197,0.24322427809238434,
27,615,,,,0.25303488969802856
28,637,,,,0.24764205515384674
29,649,0.2748141884803772,0.23258444666862488,0.23114396631717682,
29,659,,,,0.2426796406507492
30,681,,,,0.23789404332637787
31,699,0.2623998522758484,0.22058387100696564,0.21905982494354248,
31,703,,,,0.23387593030929565
32,725,,,,0.22969287633895874
33,747,,,,0.22574016451835632
34,749,0.26056942343711853,0.21112294495105743,0.20958201587200165,
34,769,,,,0.22178706526756287
35,791,,,,0.21788109838962555
36,799,0.2535214126110077,0.20127049088478088,0.19962236285209656,
36,813,,,,0.21441826224327087
37,835,,,,0.21097594499588013
38,849,0.2534234821796417,0.19362680613994598,0.19191904366016388,
38,857,,,,0.2072790116071701
39,879,,,,0.20408594608306885
