volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.24864835,0.23557527,0.28238937,0.26510456,0.236823,0.21950912,0.20438312,0.2077294,0.1941534
0.21497548,0.28978553,0.29067624,0.23948878,0.20224789,0.19474116,0.21643902,0.21239024,0.23394243
0.18154961,0.24542142,0.28959405,0.21373837,0.21094464,0.20775253,0.22084473,0.20228559,0.19568482
0.18894687,0.19682264,0.31331202,0.20129488,0.25352213,0.20781286,0.21275638,0.21935087,0.2185957
0.18497697,0.20769896,0.29089952,0.20981215,0.2620291,0.1896175,0.2127473,0.22169353,0.23192126
0.1918655,0.18348801,0.26843923,0.18581212,0.2625318,0.18417932,0.21907166,0.2354883,0.23849735
0.2225748,0.25280797,0.25583363,0.19554931,0.30929935,0.19713393,0.21289527,0.2305819,0.2470473
0.23964806,0.26709586,0.26465923,0.19860974,0.29569057,0.18867336,0.19125634,0.23103468,0.24034195
0.23850338,0.25073665,0.25584236,0.18995334,0.26745257,0.20009205,0.1765388,0.2544933,0.2256377
0.24617416,0.24850817,0.26389447,0.17425968,0.27375016,0.19449757,0.18236822,0.23207766,0.21890675
0.23653427,0.2857538,0.25919604,0.17251553,0.27194595,0.20244154,0.1948988,0.24839954,0.23156315
0.25720674,0.21583357,0.2582102,0.15925251,0.3061277,0.21395078,0.17649618,0.21294346,0.216381
0.262566,0.25805268,0.20963718,0.15926087,0.25739032,0.2547293,0.18352707,0.25675216,0.20268789
0.26826975,0.21625923,0.15905808,0.17132652,0.22459508,0.21499966,0.1657204,0.22342981,0.19048452
0.2597172,0.21602505,0.16745277,0.15683687,0.23063344,0.21674481,0.16385284,0.18675514,0.1864199
0.26867238,0.23515572,0.17979732,0.14557692,0.23649564,0.22887586,0.16909523,0.18069027,0.20144117
0.23318686,0.17788415,0.16448982,0.201671,0.20619126,0.2251198,0.1655307,0.22554602,0.16480602
0.30634862,0.16079944,0.16454592,0.16928804,0.21018349,0.23107424,0.18110779,0.21177986,0.1878135
0.29718947,0.19245699,0.17215587,0.18167062,0.21451004,0.21650314,0.18845789,0.22419527,0.19049554
0.3403916,0.18644488,0.16873242,0.20988035,0.21820088,0.23265976,0.17863892,0.21466717,0.21074337
0.34688416,0.1989184,0.17391081,0.18697727,0.21369262,0.24454166,0.18572885,0.19312988,0.17698021
0.32275,0.19576,0.18371758,0.19037606,0.20522444,0.21443917,0.19889335,0.22303581,0.19812328
0.33739856,0.19596756,0.1982518,0.19401532,0.20786072,0.2036212,0.17035693,0.20701677,0.17748185
0.33945328,0.2035041,0.20301273,0.21202725,0.22423445,0.21037781,0.18908016,0.21257511,0.200237
0.3287484,0.22122093,0.18846272,0.25076288,0.2523065,0.23079887,0.1919809,0.22940129,0.18830009
0.33207616,0.21456432,0.18899277,0.25506473,0.23248556,0.20997411,0.17596103,0.22105087,0.18902788
0.32505783,0.2210383,0.19334751,0.25796786,0.20346847,0.20800412,0.16734219,0.17150523,0.20442005
0.275942,0.20890243,0.2139996,0.25567636,0.18941845,0.20296626,0.16127057,0.18459676,0.17732815
0.26257583,0.20727466,0.18496935,0.2462932,0.18979977,0.1818469,0.15789182,0.17555328,0.17421016
0.23278016,0.1882586,0.17919488,0.24305989,0.18531445,0.1801612,0.15706673,0.1993937,0.20162529
0.22338343,0.18963505,0.17680126,0.27994493,0.17062686,0.1793173,0.15130511,0.19255476,0.1956259
0.23500925,0.19474722,0.17731293,0.22970457,0.1771111,0.17179623,0.16110788,0.19379133,0.19439699
0.18601425,0.200475,0.15338549,0.24796848,0.17265947,0.15473926,0.16264412,0.221708,0.20177458
