epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.0206224918365479
1,43,,,,0.9201030135154724
2,49,0.6758182048797607,0.8957288861274719,0.8949754238128662,
2,65,,,,0.834773063659668
3,87,,,,0.7656680941581726
4,99,0.6436437368392944,0.7255235314369202,0.7248071432113647,
4,109,,,,0.7080250382423401
5,131,,,,0.6584163904190063
6,149,0.6057122945785522,0.6142842769622803,0.6136113405227661,
6,153,,,,0.6144649982452393
7,175,,,,0.575353741645813
8,197,,,,0.5400391817092896
9,199,0.5739011764526367,0.5348344445228577,0.5341916680335999,
9,219,,,,0.5089064240455627
10,241,,,,0.4790306091308594
11,249,0.5481428503990173,0.4657347500324249,0.46507465839385986,
11,263,,,,0.45329228043556213
12,285,,,,0.42871302366256714
13,299,0.5179711580276489,0.4101502299308777,0.4094374477863312,
13,307,,,,0.406496524810791
14,329,,,,0.38620004057884216
15,349,0.49032557010650635,0.35689008235931396,0.3561103641986847,
15,351,,,,0.3678889870643616
16,373,,,,0.3512987494468689
17,395,,,,0.3361031413078308
18,399,0.43967655301094055,0.319004625082016,0.3181176781654358,
18,417,,,,0.3225284814834595
19,439,,,,0.31060540676116943
20,449,0.40467724204063416,0.29173144698143005,0.290754497051239,
20,461,,,,0.3002794682979584
21,483,,,,0.2911486327648163
22,499,0.3691859841346741,0.26915431022644043,0.2680414021015167,
22,505,,,,0.2823207974433899
23,527,,,,0.27496063709259033
24,549,0.33861634135246277,0.25039297342300415,0.2492014318704605,
24,549,,,,0.2683088481426239
25,571,,,,0.26212185621261597
26,593,,,,0.2561292350292206
27,599,0.30755069851875305,0.2413506656885147,0.24008473753929138,
27,615,,,,0.2505934238433838
28,637,,,,0.24557580053806305
29,649,0.2826351523399353,0.22807525098323822,0.22671715915203094,
29,659,,,,0.2408050000667572
30,681,,,,0.2360873818397522
31,699,0.28570497035980225,0.2127671092748642,0.21134978532791138,
31,703,,,,0.23161599040031433
32,725,,,,0.22721311450004578
33,747,,,,0.2228655368089676
34,749,0.2653835415840149,0.20579349994659424,0.20427477359771729,
34,769,,,,0.21908791363239288
35,791,,,,0.2146516591310501
36,799,0.26351261138916016,0.19514314830303192,0.1935177594423294,
36,813,,,,0.21093420684337616
37,835,,,,0.20702001452445984
38,849,0.25757479667663574,0.18837876617908478,0.18669851124286652,
38,857,,,,0.20335787534713745
39,879,,,,0.19968754053115845
