epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.029475212097168
1,43,,,,0.922478199005127
2,49,0.6786423921585083,0.8805235624313354,0.8797896504402161,
2,65,,,,0.8314732313156128
3,87,,,,0.7606960535049438
4,99,0.6597696542739868,0.7159168124198914,0.7152083516120911,
4,109,,,,0.7027949094772339
5,131,,,,0.6550499200820923
6,149,0.6314491033554077,0.6048443913459778,0.604180634021759,
6,153,,,,0.6136817336082458
7,175,,,,0.5768584609031677
8,197,,,,0.5441847443580627
9,199,0.6110854148864746,0.5235773324966431,0.5229548811912537,
9,219,,,,0.5148829221725464
10,241,,,,0.48757511377334595
11,249,0.5885127186775208,0.4658947288990021,0.4652761220932007,
11,263,,,,0.4628465473651886
12,285,,,,0.43964216113090515
13,299,0.5663518309593201,0.4030230939388275,0.40236857533454895,
13,307,,,,0.41952794790267944
14,329,,,,0.4009687304496765
15,349,0.5358760356903076,0.3654618561267853,0.3647517263889313,
15,351,,,,0.3832787871360779
16,373,,,,0.3677339255809784
17,395,,,,0.35319411754608154
18,399,0.497364342212677,0.3340141475200653,0.33323636651039124,
18,417,,,,0.33996230363845825
19,439,,,,0.3281034529209137
20,449,0.4445071816444397,0.30656957626342773,0.3056851625442505,
20,461,,,,0.3172244727611542
21,483,,,,0.30682268738746643
22,499,0.38979601860046387,0.28017863631248474,0.27914857864379883,
22,505,,,,0.2973193824291229
23,527,,,,0.2889820635318756
24,549,0.331035852432251,0.262368381023407,0.26118192076683044,
24,549,,,,0.28073927760124207
25,571,,,,0.2734793722629547
26,593,,,,0.26655343174934387
27,599,0.2980194091796875,0.24594689905643463,0.24462567269802094,
27,615,,,,0.26030614972114563
28,637,,,,0.2543458342552185
29,649,0.2815268933773041,0.231061190366745,0.22969576716423035,
29,659,,,,0.24904678761959076
30,681,,,,0.2442234754562378
31,699,0.2725909352302551,0.21758386492729187,0.21609771251678467,
31,703,,,,0.23939715325832367
32,725,,,,0.23521995544433594
33,747,,,,0.23042337596416473
34,749,0.25261443853378296,0.21137091517448425,0.2097703367471695,
34,769,,,,0.2263588309288025
35,791,,,,0.22222177684307098
36,799,0.2645586133003235,0.19908565282821655,0.19738294184207916,
36,813,,,,0.21844947338104248
37,835,,,,0.21479858458042145
38,849,0.25340768694877625,0.19350598752498627,0.19173753261566162,
38,857,,,,0.2112794667482376
39,879,,,,0.20748448371887207
